Display Name,Family,Subfamily,Pref. Family,Pref. Subfamily,Version,Vendor ID,Styles,Width,Weight,Blocks,Characters,Glyphs
汉仪旗黑-35简 (Thin),汉仪旗黑-35简,Thin,汉仪旗黑,35简,Version 5.01,HNYI,Regular,5 (Medium),100 (Thin),34,8007,8008
汉仪旗黑-40S (UltraLight),汉仪旗黑-40S,UltraLight,汉仪旗黑,40S,Version 5.01,HNYI,Regular,5 (Medium),200 (Extra-light),37,28873,28874
汉仪旗黑-40繁 (UltraLight),汉仪旗黑-40繁,UltraLight,汉仪旗黑,40繁,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),34,8007,8008
汉仪旗黑-40简 (UltraLight),汉仪旗黑-40简,UltraLight,汉仪旗黑,40简,Version 5.01,HNYI,Regular,5 (Medium),200 (Extra-light),34,8007,8008
汉仪旗黑-45S (ExtraLight),汉仪旗黑-45S,ExtraLight,汉仪旗黑,45S,Version 5.01,HNYI,Regular,5 (Medium),200 (Extra-light),37,28873,28874
汉仪旗黑-45繁 (ExtraLight),汉仪旗黑-45繁,ExtraLight,汉仪旗黑,45繁,Version 5.01,HNYI,Regular,5 (Medium),200 (Extra-light),34,8007,8008
汉仪旗黑-45简 (ExtraLight),汉仪旗黑-45简,ExtraLight,汉仪旗黑,45简,Version 5.01,HNYI,Regular,5 (Medium),200 (Extra-light),34,8007,8008
汉仪旗黑-50S (Light),汉仪旗黑-50S,Light,汉仪旗黑,50S,Version 5.01,HNYI,Regular,5 (Medium),300 (Light),37,28873,28874
汉仪旗黑-50繁 (Light),汉仪旗黑-50繁,Light,汉仪旗黑,50繁,Version 5.01,HNYI,Regular,5 (Medium),300 (Light),34,8007,8008
汉仪旗黑-50简 (Light),汉仪旗黑-50简,Light,汉仪旗黑,50简,Version 5.01,HNYI,Regular,5 (Medium),300 (Light),34,8007,8008
汉仪旗黑-55S (Book),汉仪旗黑-55S,Book,汉仪旗黑,55S,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),37,28873,28874
汉仪旗黑-55繁 (Book),汉仪旗黑-55繁,Book,汉仪旗黑,55繁,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),34,8007,8008
